Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1944,.09,.05,.21,.21,.15,.17,.24,.22,.21,.09,.03,.09,.15,.15,.07,.19,.21,.11
1945,.10,.08,.03,.10,.05,-.05,.03,.25,.22,.14,.08,.09,.09,.09,.09,.06,.07,.14
1946,-.03,-.02,-.08,-.20,-.16,-.37,-.21,-.31,-.13,-.17,-.17,-.15,-.17,-.15,.01,-.15,-.29,-.16
1947,-.07,-.11,-.16,-.10,-.09,-.03,-.05,-.09,-.24,-.26,-.14,-.21,-.13,-.12,-.11,-.12,-.06,-.21
1948,-.17,-.14,-.21,-.20,-.17,-.15,-.23,-.26,-.26,-.18,-.28,-.08,-.19,-.21,-.18,-.19,-.21,-.24
1949,-.09,-.19,-.08,-.19,-.20,-.34,-.15,-.21,-.19,-.20,-.25,-.22,-.19,-.18,-.12,-.16,-.23,-.21
1950,-.23,-.26,-.22,-.20,-.19,-.05,.00,-.13,-.15,-.35,-.35,-.32,-.20,-.20,-.24,-.20,-.06,-.28
1951,-.33,-.32,-.22,-.35,-.18,-.11,-.09,-.10,-.22,-.11,-.08,-.06,-.18,-.20,-.32,-.25,-.10,-.14
1952,.07,.06,.07,-.10,-.19,-.22,-.05,.02,-.01,.01,-.05,-.03,-.04,-.04,.02,-.07,-.08,-.02
1953,-.08,-.07,-.03,-.02,-.01,-.01,-.18,-.07,-.08,-.10,-.12,-.12,-.07,-.07,-.06,-.02,-.09,-.10
1954,-.23,-.19,-.12,-.28,-.33,-.34,-.29,-.34,-.29,-.19,-.20,-.27,-.26,-.24,-.18,-.24,-.32,-.23
1955,-.17,-.20,-.22,-.22,-.29,-.19,-.19,-.06,-.22,-.24,-.19,-.29,-.21,-.20,-.21,-.24,-.15,-.22
1956,-.23,-.17,-.20,-.30,-.29,-.13,.00,-.25,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.13,-.11
1957,-.04,-.01,.00,.09,.23,.19,-.06,.14,.05,-.03,.04,.07,.05,.05,-.03,.11,.09,.02
1958,.09,.16,.02,.01,.00,-.20,.06,-.22,-.11,.01,.02,-.15,-.03,-.01,.11,.01,-.12,-.03
1959,-.08,-.02,.02,.09,.05,-.07,.02,-.11,-.25,-.10,-.18,-.10,-.06,-.06,-.08,.05,-.05,-.17
1960,-.15,-.15,-.29,-.17,-.19,-.25,-.16,-.07,.02,.06,-.14,-.02,-.13,-.13,-.14,-.21,-.16,-.02
1961,-.03,.08,-.04,.12,.17,.05,-.05,-.04,.19,.03,-.01,-.15,.03,.04,.01,.09,-.01,.07
1962,-.17,-.07,-.09,-.13,-.15,.19,-.06,-.06,.03,-.10,.00,-.15,-.06,-.06,-.13,-.12,.02,-.02
1963,-.14,-.14,-.16,-.18,-.07,.13,.02,.30,.22,-.12,-.12,-.08,-.03,-.03,-.14,-.14,.15,.00
1964,-.13,-.17,-.10,-.32,-.40,.01,.04,-.20,-.31,-.32,-.21,-.33,-.20,-.18,-.13,-.27,-.05,-.28
1965,-.14,.03,-.16,-.12,-.10,.04,-.08,.12,-.09,-.08,-.15,-.07,-.07,-.09,-.15,-.13,.03,-.11
1966,-.13,-.12,.08,-.03,-.19,-.04,.06,-.30,-.12,-.23,-.03,-.02,-.09,-.09,-.10,-.05,-.09,-.12
1967,.03,-.03,-.14,-.14,.04,-.10,-.01,-.05,-.09,-.12,-.14,-.12,-.07,-.07,-.01,-.08,-.05,-.12
1968,-.21,-.13,-.04,-.11,-.22,-.14,-.17,-.09,-.32,.18,.13,.05,-.09,-.10,-.15,-.13,-.13,.00
1969,.22,.11,.22,.31,.26,.11,-.13,.03,.13,.17,.10,.18,.14,.13,.13,.26,.01,.13
1970,.20,.17,.19,.13,-.06,-.06,.07,-.15,.27,.24,.02,.05,.09,.10,.18,.09,-.05,.18
1971,.09,-.11,-.08,.06,.01,-.20,-.03,.13,.02,.06,-.13,-.04,-.02,-.01,.01,.00,-.03,-.02
1972,.09,.17,.04,.12,.09,.18,.08,.40,.31,.21,.25,.41,.20,.16,.07,.08,.22,.26
1973,.43,.21,.26,.36,.36,.21,.22,.08,.26,.27,.18,-.10,.23,.27,.35,.33,.17,.23
1974,.05,-.19,-.14,-.14,.11,.08,.07,.31,.01,.11,.05,.10,.03,.02,-.08,-.06,.15,.05
1975,.03,.06,.14,.02,.32,.05,.05,-.20,.02,-.06,-.05,-.13,.02,.04,.06,.16,-.03,-.03
1976,-.12,-.01,-.12,-.17,-.16,-.05,.07,-.03,-.01,.04,.20,.47,.01,-.04,-.09,-.15,.00,.08
1977,.52,.34,.22,.28,.42,.31,.32,.33,-.08,.09,.06,.04,.24,.27,.44,.31,.32,.02
1978,-.03,.16,.17,.26,.24,.11,.16,-.12,.12,.06,.11,.14,.11,.11,.06,.22,.05,.10
1979,.22,.16,.20,.47,.06,.20,.03,.30,.31,.29,.33,.41,.25,.23,.17,.25,.18,.31
1980,.38,.38,.52,.46,.44,.23,.31,.28,.31,.15,.38,.34,.35,.35,.39,.47,.27,.28
1981,.25,.22,.28,.26,.31,.30,.54,.53,.16,.02,.11,.28,.27,.28,.27,.28,.46,.10
1982,.24,.15,.01,.13,.27,.11,.25,.15,.23,.27,.47,.48,.23,.21,.22,.14,.17,.32
1983,.51,.51,.41,.50,.63,.35,.18,.46,.49,.22,.12,.22,.38,.40,.50,.51,.33,.28
1984,.28,.26,.35,.19,.42,-.03,.29,.33,.46,.20,.24,.34,.28,.27,.26,.32,.20,.30
1985,.37,.22,.35,.27,.20,.29,.15,.34,.23,.21,.08,.12,.24,.26,.31,.27,.26,.17
1986,.16,.43,.34,.30,.24,.11,.25,.28,.09,.23,.17,.20,.23,.23,.23,.29,.21,.16
1987,.39,.36,.37,.42,.29,.54,.56,.25,.33,.44,.49,.43,.41,.39,.32,.36,.45,.42
1988,.55,.43,.56,.42,.45,.40,.24,.52,.47,.52,.19,.14,.41,.43,.47,.48,.39,.39
1989,.16,.20,.26,.26,.12,.10,.36,.40,.45,.33,.28,.40,.28,.25,.17,.21,.28,.35
1990,.35,.33,.42,.42,.41,.28,.58,.28,.05,.42,.47,.43,.37,.37,.36,.42,.38,.31
1991,.26,.43,.25,.46,.36,.59,.52,.43,.52,.29,.27,.44,.40,.40,.37,.36,.51,.36
1992,.34,.30,.41,.39,.44,.47,.27,.24,.18,.30,.14,.21,.31,.33,.36,.42,.33,.20
1993,.30,.21,.33,.32,.26,.24,.38,.20,.30,.34,.29,.15,.28,.28,.24,.30,.28,.31
1994,.19,.10,.09,.34,.17,.45,.27,.11,.31,.30,.39,.40,.26,.24,.15,.20,.28,.34
1995,.30,.38,.34,.22,.14,.37,.54,.37,.25,.35,.32,.24,.32,.33,.36,.23,.43,.30
1996,.22,.37,.33,.48,.20,.26,.44,.77,.45,.34,.41,.39,.39,.38,.28,.34,.49,.40
1997,.25,.21,.28,.18,.26,.60,.27,.36,.53,.60,.70,.69,.41,.39,.28,.24,.41,.61
1998,.55,.72,.54,.40,.70,.82,.58,.59,.24,.30,.37,.35,.51,.54,.65,.55,.66,.30
1999,.37,.27,.35,.10,.16,.37,.41,.32,.36,.28,.20,.16,.28,.30,.33,.20,.37,.28
2000,.11,.21,.25,.24,.17,.35,.35,.37,.41,.24,.41,.29,.28,.27,.16,.22,.36,.35
2001,.34,.41,.34,.41,.46,.52,.54,.30,.47,.40,.46,.46,.43,.41,.35,.40,.46,.45
2002,.51,.42,.64,.65,.77,.38,.56,.51,.63,.54,.40,.46,.54,.54,.46,.69,.48,.52
2003,.57,.60,.52,.49,.50,.41,.48,.43,.47,.47,.41,.52,.49,.48,.54,.50,.44,.45
2004,.49,.52,.39,.51,.22,.40,.04,.36,.40,.51,.47,.57,.41,.40,.51,.38,.27,.46
2005,.54,.48,.53,.41,.49,.50,.48,.51,.52,.55,.41,.52,.49,.50,.53,.47,.50,.49
2006,.47,.50,.47,.34,.20,.50,.38,.72,.48,.44,.53,.43,.45,.46,.49,.34,.54,.48
2007,.58,.50,.49,.44,.65,.56,.54,.47,.52,.34,.35,.22,.47,.49,.50,.53,.52,.40
2008,.27,.16,.34,.42,.38,.36,.59,.33,.64,.49,.41,.43,.40,.38,.22,.38,.43,.51
2009,.46,.35,.48,.51,.64,.61,.79,.65,.59,.52,.75,.69,.59,.57,.41,.54,.68,.62
2010,.69,.73,.74,.56,.58,.52,.37,.47,.55,.51,.41,.39,.54,.57,.70,.62,.45,.49
2011,.42,.39,.42,.45,.40,.49,.67,.77,.40,.40,.50,.32,.47,.47,.40,.42,.64,.43
2012,.29,.39,.43,.37,.59,.35,.32,.55,.59,.68,.59,.61,.48,.46,.33,.47,.41,.62
2013,.56,.45,.52,.39,.44,.61,.50,.63,.82,.55,.54,.55,.55,.55,.54,.45,.58,.64
2014,.54,.37,.35,.51,.82,.53,.40,.74,.90,.68,.53,.47,.57,.58,.49,.56,.56,.70
2015,.52,.61,.58,.49,.56,.58,.55,.60,.55,.90,.75,.79,.62,.60,.53,.54,.58,.73
2016,.79,.78,.81,.73,.79,.49,.65,.91,.60,.74,.71,.69,.73,.73,.79,.77,.69,.68
2017,.65,.74,.79,.68,.90,.52,.67,.73,.54,.75,.53,.47,.67,.68,.69,.79,.64,.61
2018,.48,.44,.59,.81,.63,.68,.74,.66,.64,.80,.68,.74,.66,.64,.47,.68,.70,.71
2019,.66,.76,.79,.78,.72,.63,.85,.81,.64,.72,.79,.78,.74,.74,.72,.76,.76,.72
2020,.74,.77,.67,.86,.76,.71,.70,.63,.77,.56,.59,.39,.68,.71,.76,.76,.68,.64
2021,.36,.31,.56,.38,.53,.48,.76,.61,.79,.68,.56,.56,.55,.53,.35,.49,.62,.67
2022,.56,.60,.66,.57,.66,.71,.81,.72,.63,.62,***,***,***,***,.57,.63,.75,***
